"Name","Poverty by Race/Ethnicity"
"Description","Individuals living in households with incomes below the Federal Poverty Level (FPL) by racial/ethnic groups.&nbsp;Racial/ethnic groups are defined as follows: White = non-Latino White alone, Black = non-Latino Black alone, Asian = non-Latino Asian or Pacific Islander alone, Latino = Latino of any race.&nbsp;"
"Source Notes","U.S. Census Bureau, American Community Survey 1-Year Estimates, Public Use Microdata Sample File (2007-2018); retrieved from <a href=""https://data.census.gov/"">https://data.census.gov/</a>."
"Notes","The Federal Poverty Level (FPL) is an income threshold calculated by the U.S. Census Bureau each year for the purpose of estimating the number of individuals and households living in poverty. The income threshold varies based on the number of children and adults in a household and the age of the head of household. In 2018, the FPL for a household consisting of two adults and two children was $25,100. The Census Bureau excludes institutionalized individuals, individuals living in military group quarters or college dorms, and unrelated individuals under 15 years of age from poverty estimates.&nbsp;<br />
<br />
Poverty data displayed in Race/Ethnicity breakdown may differ slightly from poverty data displayed in Total breakdown because data in Race/Ethnicity breakdown were derived from Census Public Use Microdata files, while data in Total breakdown were derived from Census summary table files. (See sources.)&nbsp;Percents refer to the percent of the population of the selected racial/ethnic group for whom poverty status was determined.&nbsp;"
Tottenville,All Races and Ethnicities,2008,Number,3963,503
St. George,Asian,2011,Number,3982,501
Throgs Neck,White,2008,Number,4025,210
Sheepshead Bay,Asian,2008,Number,4051,315
Queens Village,Latino,2012,Number,4096,413
Queens Village,Asian,2012,Number,4117,413
Astoria,Asian,2012,Number,4124,401
Howard Beach,White,2011,Number,4129,410
Riverdale,Black,2008,Number,4134,208
Coney Island,Latino,2008,Number,4134,313
Washington Heights,Black,2011,Number,4155,112
Manhattanville,White,2008,Number,4171,109
Pelham Parkway,Black,2011,Number,4189,211
Howard Beach,Asian,2008,Number,4202,410
Riverdale,Black,2011,Number,4208,208
Fresh Meadows/Briarwood,Black,2012,Number,4225,408
Sheepshead Bay,Asian,2011,Number,4244,315
Bay Ridge,Asian,2011,Number,4271,310
Jackson Heights,Asian,2008,Number,4286,403
Park Slope,Latino,2011,Number,4296,306
Jackson Heights,Asian,2011,Number,4315,403
Borough Park,Latino,2008,Number,4335,312
Borough Park,Asian,2011,Number,4338,312
Upper West Side,Asian,2008,Number,4351,107
Coney Island,Black,2011,Number,4387,313
Lower East Side,White,2011,Number,4408,103
Canarsie,Latino,2011,Number,4409,318
East New York,White,2011,Number,4417,305
Woodhaven,White,2008,Number,4422,409
St. George,White,2012,Number,4470,501
Elmhurst/Corona,Black,2012,Number,4476,404
Howard Beach,White,2008,Number,4479,410
Chelsea/Clinton,White,2008,Number,4485.87056,104
Battery Park/Tribeca,All Races and Ethnicities,2012,Number,4485.89761,101
Coney Island,Latino,2012,Number,4493,313
Bushwick,Black,2012,Number,4509,304
Fresh Meadows/Briarwood,Latino,2012,Number,4510,408
Lower East Side,Black,2012,Number,4516,103
Howard Beach,Latino,2008,Number,4561,410
Pelham Parkway,White,2012,Number,4566,211
Sunnyside/Woodside,Latino,2011,Number,4567,402
Williamsburg/Greenpoint,Black,2008,Number,4604,301
Canarsie,Latino,2008,Number,4612,318
Bayside,Asian,2012,Number,4621,411
Chelsea/Clinton,Latino,2011,Number,4623.15912,104
Midtown Business District,All Races and Ethnicities,2012,Number,4689.38863,105
Astoria,Asian,2008,Number,4730,401
Park Slope,White,2011,Number,4733,306
Rego Park/Forest Hills,White,2008,Number,4773,406
Sunset Park,White,2012,Number,4812,307
Staten Island,Asian,2012,Number,4823,36085
Chelsea/Clinton,White,2011,Number,4823.76038,104
Howard Beach,Asian,2012,Number,4867,410
Upper West Side,Latino,2008,Number,4871,107
Park Slope,White,2012,Number,4893,306
Borough Park,Latino,2012,Number,4936,312
Sunnyside/Woodside,White,2011,Number,4947,402
Jamaica/St. Albans,Latino,2008,Number,4995,412
Rego Park/Forest Hills,All Races and Ethnicities,2011,Number,5009,406
Battery Park/Tribeca,All Races and Ethnicities,2008,Number,5020.58688,101
Washington Heights,White,2008,Number,5062,112
Woodhaven,Asian,2008,Number,5076,409
Flatbush/Midwood,Latino,2012,Number,5082,314
Bayside,Asian,2008,Number,5088,411
The Rockaways,White,2011,Number,5089,414
Hunts Point,Black,2011,Number,5143.43757,202
Borough Park,Asian,2008,Number,5165,312
Sheepshead Bay,Asian,2012,Number,5195,315
Bensonhurst,Latino,2012,Number,5208,311
Lower East Side,Black,2011,Number,5218,103
Throgs Neck,Latino,2008,Number,5251,210
The Rockaways,Latino,2008,Number,5281,414
Crown Heights North,White,2008,Number,5325,308
Fresh Meadows/Briarwood,White,2012,Number,5340,408
Sunset Park,White,2011,Number,5344,307
Coney Island,Asian,2012,Number,5346,313
Bedford Park,Black,2011,Number,5366,207
Lower East Side,White,2012,Number,5411,103
Murray Hill/Stuyvesant,White,2008,Number,5411,106
Park Slope,Latino,2012,Number,5411,306
Flatbush/Midwood,Asian,2012,Number,5420,314
Canarsie,White,2008,Number,5448,318
Pelham Parkway,Black,2008,Number,5449,211
Fort Greene/Brooklyn Hts,White,2011,Number,5457,302
South Beach,White,2008,Number,5457,502
Fort Greene/Brooklyn Hts,White,2012,Number,5463,302
Greenwich Village,All Races and Ethnicities,2011,Number,5501.925,102
Borough Park,Latino,2011,Number,5505,312
Staten Island,Asian,2011,Number,5557,36085
Flatbush/Midwood,Asian,2011,Number,5558,314
Upper West Side,Latino,2012,Number,5561,107
Pelham Parkway,White,2008,Number,5639,211
Bensonhurst,Latino,2011,Number,5668,311
Midtown Business District,All Races and Ethnicities,2008,Number,5712.05493,105
Throgs Neck,Latino,2011,Number,5750,210
The Rockaways,Latino,2012,Number,5804,414
Throgs Neck,Latino,2012,Number,5807,210
Manhattanville,Black,2012,Number,5817,109
St. George,White,2008,Number,5830,501
Upper West Side,White,2012,Number,5843,107
Park Slope,White,2008,Number,5862,306
Flatbush/Midwood,Latino,2011,Number,5925,314
Flushing,Latino,2008,Number,5986,407
The Rockaways,White,2012,Number,5987,414
Crown Heights North,Latino,2008,Number,5998,308
Borough Park,Asian,2012,Number,6007,312
Hunts Point,Black,2012,Number,6027.75554,202
Williamsbridge,Latino,2008,Number,6067,212
Pelham Parkway,Black,2012,Number,6071,211
South Beach,White,2012,Number,6142,502
Fort Greene/Brooklyn Hts,Black,2012,Number,6145,302
Astoria,Asian,2011,Number,6172,401
Sunset Park,White,2008,Number,6213,307
Bayside,Asian,2011,Number,6261,411
Midtown Business District,All Races and Ethnicities,2011,Number,6284.7614,105
Manhattanville,White,2011,Number,6300,109
Howard Beach,Latino,2012,Number,6308,410
Murray Hill/Stuyvesant,White,2012,Number,6369,106
Manhattanville,White,2012,Number,6377,109
Crown Heights South,Latino,2012,Number,6380,309
Lower East Side,White,2008,Number,6416,103
Bay Ridge,Asian,2012,Number,6440,310
Fort Greene/Brooklyn Hts,White,2008,Number,6441,302
Rego Park/Forest Hills,All Races and Ethnicities,2008,Number,6461,406
Jamaica/St. Albans,Asian,2012,Number,6480,412
South Beach,White,2011,Number,6521,502
Lower East Side,Black,2008,Number,6540,103
Sunnyside/Woodside,Latino,2008,Number,6587,402
Flatbush/Midwood,Black,2012,Number,6607,314
Coney Island,Latino,2011,Number,6617,313
Greenwich Village,All Races and Ethnicities,2012,Number,6622.10239,102
Fort Greene/Brooklyn Hts,Black,2011,Number,6632,302
Fresh Meadows/Briarwood,Asian,2011,Number,6718,408
Upper East Side,White,2008,Number,6863,108
Hunts Point,Black,2008,Number,6870.27467,202
The Rockaways,Black,2011,Number,6888,414
Howard Beach,Asian,2011,Number,6915,410
Flushing,White,2011,Number,6986,407
Ridgewood/Glendale,White,2011,Number,7014,405
Woodhaven,Asian,2012,Number,7060,409
St. George,White,2011,Number,7076,501
Central Harlem,Latino,2011,Number,7090,110
Sunnyside/Woodside,Asian,2008,Number,7207,402
Upper West Side,White,2011,Number,7278,107
Morrisania,Black,2008,Number,7294.6784,203
Ridgewood/Glendale,Latino,2008,Number,7308,405
Jackson Heights,Asian,2012,Number,7336,403
Throgs Neck,Black,2012,Number,7381,210
Greenwich Village,All Races and Ethnicities,2008,Number,7411.41312,102
Flushing,White,2008,Number,7449,407
Upper West Side,White,2008,Number,7498,107
East Tremont,Black,2008,Number,7615.3216,206
Tottenville,White,2012,Number,7660,503
Bedford Park,Black,2008,Number,7676,207
Bayside,All Races and Ethnicities,2008,Number,7791,411
Woodhaven,Latino,2008,Number,7820,409
Bay Ridge,White,2008,Number,7840,310
The Rockaways,Black,2008,Number,7860,414
Bedford Stuyvesant,White,2008,Number,7905,303
Queens Village,Black,2011,Number,7964,413
Morrisania,Black,2011,Number,7975.71075,203
Canarsie,White,2011,Number,7978,318
Bedford Stuyvesant,Latino,2008,Number,7980,303
Tottenville,White,2011,Number,8094,503
Bedford Stuyvesant,Latino,2012,Number,8130,303
Queens Village,Black,2008,Number,8195,413
Astoria,Latino,2012,Number,8207,401
Elmhurst/Corona,Asian,2011,Number,8228,404
East Tremont,Black,2011,Number,8326.28925,206
Flatbush/Midwood,Black,2011,Number,8335,314
Crown Heights North,Latino,2011,Number,8337,308
Brownsville,Latino,2012,Number,8352,316
Fort Greene/Brooklyn Hts,Latino,2008,Number,8418,302
Sunset Park,Asian,2011,Number,8438,307
Jamaica/St. Albans,Asian,2011,Number,8520,412
St. George,Black,2011,Number,8558,501
Fresh Meadows/Briarwood,All Races and Ethnicities,2008,Number,8581,408
Bushwick,Black,2008,Number,8598,304
Bedford Stuyvesant,White,2011,Number,8644,303
Flushing,Latino,2012,Number,8711,407
Fresh Meadows/Briarwood,White,2011,Number,8716,408
Bay Ridge,White,2012,Number,8772,310
Ridgewood/Glendale,White,2012,Number,8800,405
Upper East Side,White,2011,Number,8868,108
East Harlem,Black,2008,Number,8881,111
Staten Island,Black,2011,Number,8892,36085
Bushwick,Black,2011,Number,8949,304
Mott Haven,Black,2011,Number,9007.56243,201
Tottenville,All Races and Ethnicities,2011,Number,9048,503
Rego Park/Forest Hills,White,2012,Number,9098,406
Unionport/Soundview,Black,2008,Number,9119,209
South Beach,All Races and Ethnicities,2008,Number,9129,502
Elmhurst/Corona,Latino,2008,Number,9158,404
Sunnyside/Woodside,Latino,2012,Number,9181,402
The Rockaways,Latino,2011,Number,9219,414
South Beach,All Races and Ethnicities,2012,Number,9265,502
Chelsea/Clinton,All Races and Ethnicities,2012,Number,9369.61138,104
Fort Greene/Brooklyn Hts,Latino,2012,Number,9420,302
Fort Greene/Brooklyn Hts,Latino,2011,Number,9538,302
Bedford Stuyvesant,Latino,2011,Number,9595,303
Upper West Side,Latino,2011,Number,9636,107
St. George,Black,2008,Number,9645,501
Tottenville,All Races and Ethnicities,2012,Number,9700,503
Astoria,Latino,2011,Number,9738,401
Woodhaven,Asian,2011,Number,9822,409
Sheepshead Bay,White,2008,Number,9902,315
Sunnyside/Woodside,Asian,2011,Number,9905,402
South Beach,All Races and Ethnicities,2011,Number,9966,502
Bay Ridge,White,2011,Number,9987,310
Elmhurst/Corona,Asian,2012,Number,10039,404
Manhattanville,Black,2008,Number,10062,109
Unionport/Soundview,Black,2011,Number,10093,209
Woodhaven,Latino,2011,Number,10179,409
Bensonhurst,Asian,2008,Number,10259,311
Astoria,White,2012,Number,10321,401
Bayside,All Races and Ethnicities,2012,Number,10405,411
The Rockaways,Black,2012,Number,10427,414
Williamsbridge,Latino,2011,Number,10443,212
Murray Hill/Stuyvesant,White,2011,Number,10483,106
Flatbush/Midwood,White,2012,Number,10504,314
Riverdale,Latino,2011,Number,10525,208
St. George,Latino,2008,Number,10545,501
Mott Haven,Black,2012,Number,10556.24446,201
Fort Greene/Brooklyn Hts,Black,2008,Number,10568,302
Unionport/Soundview,Black,2012,Number,10685,209
Staten Island,Black,2008,Number,10717,36085
Jamaica/St. Albans,Latino,2011,Number,10718,412
Central Harlem,Latino,2008,Number,10752,110
Murray Hill/Stuyvesant,All Races and Ethnicities,2008,Number,10766,106
Astoria,Latino,2008,Number,10805,401
Upper East Side,White,2012,Number,10834,108
Jamaica/St. Albans,Latino,2012,Number,10883,412
Woodhaven,Latino,2012,Number,10946,409
Ridgewood/Glendale,White,2008,Number,10968,405
Concourse/Highbridge,Black,2008,Number,10972,204
Park Slope,All Races and Ethnicities,2011,Number,11054,306
Lower East Side,Latino,2008,Number,11160,103
East Harlem,Black,2011,Number,11173,111
Manhattanville,Black,2011,Number,11245,109
Upper East Side,All Races and Ethnicities,2011,Number,11254,108
East Harlem,Black,2012,Number,11293,111
Bronx,Asian,2011,Number,11339,36005
St. George,Latino,2011,Number,11394,501
Astoria,White,2008,Number,11397,401
Chelsea/Clinton,All Races and Ethnicities,2008,Number,11412.94507,104
Bensonhurst,White,2011,Number,11442,311
Sunset Park,Asian,2008,Number,11519,307
Throgs Neck,All Races and Ethnicities,2008,Number,11550,210
University Heights,Black,2012,Number,11554,205
Riverdale,Latino,2012,Number,11558,208
Throgs Neck,All Races and Ethnicities,2011,Number,11563,210
Williamsburg/Greenpoint,Latino,2008,Number,11630,301
Queens Village,Black,2012,Number,11649,413
Concourse/Highbridge,Black,2012,Number,11796,204
Bronx,Asian,2012,Number,11798,36005
St. George,Black,2012,Number,11800,501
Astoria,White,2011,Number,11819,401
Morrisania,Black,2012,Number,11868.16289,203
Murray Hill/Stuyvesant,All Races and Ethnicities,2012,Number,11924,106
Coney Island,White,2008,Number,12020,313
Mott Haven,Black,2008,Number,12031.72533,201
Elmhurst/Corona,Asian,2008,Number,12057,404
Ridgewood/Glendale,Latino,2012,Number,12090,405
Williamsbridge,Latino,2012,Number,12093,212
Staten Island,Latino,2008,Number,12160,36085
Bronx,Asian,2008,Number,12328,36005
Lower East Side,Latino,2011,Number,12337,103
Flatbush/Midwood,Black,2008,Number,12378,314
East Tremont,Black,2012,Number,12389.83711,206
Brownsville,Latino,2008,Number,12406,316
Park Slope,All Races and Ethnicities,2012,Number,12490,306
Upper East Side,All Races and Ethnicities,2008,Number,12507,108
Chelsea/Clinton,All Races and Ethnicities,2011,Number,12557.2386,104
Staten Island,Black,2012,Number,12592,36085
Bensonhurst,Asian,2011,Number,12595,311
Fresh Meadows/Briarwood,Asian,2012,Number,12726,408
Lower East Side,Latino,2012,Number,12781,103
Canarsie,Black,2011,Number,12790,318
Bayside,All Races and Ethnicities,2011,Number,12897,411
Pelham Parkway,Latino,2008,Number,13026,211
Bedford Stuyvesant,White,2012,Number,13094,303
Sunnyside/Woodside,Asian,2012,Number,13145,402
Canarsie,Black,2008,Number,13198,318
Pelham Parkway,Latino,2012,Number,13212,211
Pelham Parkway,Latino,2011,Number,13258,211
Sheepshead Bay,White,2011,Number,13272,315
Manhattanville,Latino,2011,Number,13338,109
Riverdale,Latino,2008,Number,13405,208
Bay Ridge,All Races and Ethnicities,2008,Number,13446,310
Coney Island,White,2011,Number,13585,313
St. George,Latino,2012,Number,13625,501
Park Slope,All Races and Ethnicities,2008,Number,13739,306
University Heights,Black,2011,Number,13791,205
Staten Island,Latino,2011,Number,13815,36085
Coney Island,White,2012,Number,13911,313
Williamsbridge,Black,2008,Number,14019,212
University Heights,Black,2008,Number,14124,205
Rego Park/Forest Hills,All Races and Ethnicities,2012,Number,14257,406
Flatbush/Midwood,White,2008,Number,14291,314
Williamsbridge,Black,2011,Number,14409,212
Brownsville,Latino,2011,Number,14414,316
Williamsburg/Greenpoint,Latino,2011,Number,14427,301
Staten Island,White,2008,Number,14626,36085
Williamsburg/Greenpoint,Latino,2012,Number,14787,301
East New York,Latino,2008,Number,15008,305
Queens Village,All Races and Ethnicities,2008,Number,15143,413
The Rockaways,All Races and Ethnicities,2008,Number,15267,414
Central Harlem,Latino,2012,Number,15269,110
Staten Island,Latino,2012,Number,15431,36085
Bensonhurst,White,2008,Number,15645,311
Queens Village,All Races and Ethnicities,2011,Number,15715,413
Bensonhurst,White,2012,Number,15743,311
East Harlem,Latino,2008,Number,15796,111
Hunts Point,Latino,2008,Number,15904.63861,202
Crown Heights South,Black,2012,Number,15927,309
Sunset Park,Latino,2008,Number,15939,307
Upper West Side,All Races and Ethnicities,2012,Number,16093,107
Flatbush/Midwood,White,2011,Number,16116,314
Hunts Point,Latino,2011,Number,16203.77289,202
Sunnyside/Woodside,All Races and Ethnicities,2008,Number,16265,402
Riverdale,All Races and Ethnicities,2012,Number,16368,208
Crown Heights South,Black,2008,Number,16394,309
Lower East Side,Asian,2008,Number,16604,103
Concourse/Highbridge,Black,2011,Number,16642,204
Throgs Neck,All Races and Ethnicities,2012,Number,16739,210
East New York,Latino,2012,Number,16789,305
Riverdale,All Races and Ethnicities,2011,Number,16794,208
East New York,Latino,2011,Number,16900,305
Murray Hill/Stuyvesant,All Races and Ethnicities,2011,Number,16949,106
Sheepshead Bay,White,2012,Number,16991,315
Sheepshead Bay,All Races and Ethnicities,2008,Number,17109,315
Flushing,Asian,2008,Number,17444,407
East Flatbush,Black,2008,Number,17456,317
Central Harlem,Black,2008,Number,17509,110
Ridgewood/Glendale,Latino,2011,Number,17534,405
Elmhurst/Corona,Latino,2011,Number,17559,404
Bay Ridge,All Races and Ethnicities,2011,Number,17601,310
Bedford Stuyvesant,Black,2012,Number,17755,303
Flushing,Asian,2011,Number,17773,407
Bronx,White,2012,Number,17861,36005
Bronx,White,2011,Number,17920,36005
Crown Heights North,Black,2008,Number,18018,308
Crown Heights South,Black,2011,Number,18092,309
Bay Ridge,All Races and Ethnicities,2012,Number,18146,310
Staten Island,White,2012,Number,18272,36085
Hunts Point,Latino,2012,Number,18485.62583,202
East Flatbush,Black,2012,Number,18698,317
Williamsbridge,Black,2012,Number,18721,212
Canarsie,Black,2012,Number,18737,318
Manhattanville,Latino,2008,Number,18809,109
Upper East Side,All Races and Ethnicities,2012,Number,18833,108
Jamaica/St. Albans,Black,2011,Number,18843,412
Bronx,White,2008,Number,18870,36005
Lower East Side,Asian,2012,Number,18890,103
East Harlem,Latino,2011,Number,18925,111
Woodhaven,All Races and Ethnicities,2008,Number,18941,409
Bensonhurst,Asian,2012,Number,19157,311
Howard Beach,All Races and Ethnicities,2011,Number,19221,410
Lower East Side,Asian,2011,Number,19231,103
Howard Beach,All Races and Ethnicities,2012,Number,19262,410
Jamaica/St. Albans,Black,2008,Number,19330,412
Ridgewood/Glendale,All Races and Ethnicities,2008,Number,19550,405
East Flatbush,All Races and Ethnicities,2008,Number,19608,317
Sunnyside/Woodside,All Races and Ethnicities,2011,Number,19609,402
Central Harlem,Black,2011,Number,19736,110
Coney Island,All Races and Ethnicities,2008,Number,19744,313
East Flatbush,Black,2011,Number,19767,317
Riverdale,All Races and Ethnicities,2008,Number,20139,208
Sunset Park,Latino,2011,Number,20142,307
Sunset Park,Asian,2012,Number,20188,307
East New York,Black,2012,Number,20229,305
Howard Beach,All Races and Ethnicities,2008,Number,20370,410
Upper West Side,All Races and Ethnicities,2008,Number,20788,107
Sheepshead Bay,All Races and Ethnicities,2011,Number,20937,315
Jamaica/St. Albans,Black,2012,Number,20989,412
Bushwick,Latino,2008,Number,21037,304
Central Harlem,Black,2012,Number,21073,110
Sunset Park,Latino,2012,Number,21232,307
Elmhurst/Corona,Latino,2012,Number,21248,404
East Harlem,Latino,2012,Number,21286,111
Bedford Stuyvesant,Black,2011,Number,21288,303
Queens Village,All Races and Ethnicities,2012,Number,21551,413
Morrisania,Latino,2012,Number,21580.70183,203
Staten Island,White,2011,Number,21691,36085
Hunts Point,All Races and Ethnicities,2011,Number,21768.47002,202
Bedford Stuyvesant,Black,2008,Number,21913,303
Crown Heights North,Black,2012,Number,22266,308
Crown Heights North,Black,2011,Number,22349,308
Upper West Side,All Races and Ethnicities,2011,Number,22482,107
Morrisania,Latino,2008,Number,22525.92777,203
East Tremont,Latino,2012,Number,22529.29817,206
East Flatbush,All Races and Ethnicities,2012,Number,22556,317
The Rockaways,All Races and Ethnicities,2011,Number,22645,414
Williamsbridge,All Races and Ethnicities,2008,Number,22654,212
Crown Heights South,All Races and Ethnicities,2008,Number,22747,309
Fort Greene/Brooklyn Hts,All Races and Ethnicities,2011,Number,22794,302
Elmhurst/Corona,All Races and Ethnicities,2008,Number,23125,404
Hunts Point,All Races and Ethnicities,2008,Number,23174.00129,202
East Tremont,Latino,2008,Number,23516.07223,206
Bedford Park,Latino,2008,Number,23576,207
Flushing,Asian,2012,Number,23600,407
Manhattanville,Latino,2012,Number,23609,109
Fresh Meadows/Briarwood,All Races and Ethnicities,2011,Number,23693,408
Woodhaven,All Races and Ethnicities,2012,Number,23712,409
Brownsville,Black,2008,Number,23840,316
Fort Greene/Brooklyn Hts,All Races and Ethnicities,2012,Number,23909,302
Crown Heights South,All Races and Ethnicities,2011,Number,23936,309
East New York,Black,2008,Number,24308,305
East Flatbush,All Races and Ethnicities,2011,Number,24429,317
Canarsie,All Races and Ethnicities,2008,Number,24474,318
Pelham Parkway,All Races and Ethnicities,2011,Number,24579,211
The Rockaways,All Races and Ethnicities,2012,Number,24582,414
Hunts Point,All Races and Ethnicities,2012,Number,24792.5249,202
Woodhaven,All Races and Ethnicities,2011,Number,25418,409
Ridgewood/Glendale,All Races and Ethnicities,2012,Number,25427,405
Canarsie,All Races and Ethnicities,2012,Number,25634,318
Pelham Parkway,All Races and Ethnicities,2012,Number,25836,211
Morrisania,Latino,2011,Number,25858.19166,203
Unionport/Soundview,Latino,2008,Number,25922,209
Sunnyside/Woodside,All Races and Ethnicities,2012,Number,26201,402
Bedford Park,Latino,2012,Number,26300,207
Astoria,All Races and Ethnicities,2012,Number,26365,401
Jackson Heights,Latino,2008,Number,26654,403
Ridgewood/Glendale,All Races and Ethnicities,2011,Number,26666,405
East Tremont,Latino,2011,Number,26994.80834,206
Pelham Parkway,All Races and Ethnicities,2008,Number,27155,211
Crown Heights South,All Races and Ethnicities,2012,Number,27266,309
Williamsburg/Greenpoint,White,2011,Number,27332,301
Fort Greene/Brooklyn Hts,All Races and Ethnicities,2008,Number,27344,302
Coney Island,All Races and Ethnicities,2011,Number,27429,313
Williamsbridge,All Races and Ethnicities,2011,Number,27597,212
Fresh Meadows/Briarwood,All Races and Ethnicities,2012,Number,27702,408
Coney Island,All Races and Ethnicities,2012,Number,27736,313
Mott Haven,Latino,2008,Number,27853.36139,201
Mott Haven,Latino,2011,Number,28377.22711,201
Canarsie,All Races and Ethnicities,2011,Number,28495,318
Jamaica/St. Albans,All Races and Ethnicities,2008,Number,28499,412
Flatbush/Midwood,All Races and Ethnicities,2012,Number,29132,314
St. George,All Races and Ethnicities,2008,Number,29421,501
Williamsburg/Greenpoint,White,2012,Number,29576,301
Elmhurst/Corona,All Races and Ethnicities,2011,Number,29683,404
Bensonhurst,All Races and Ethnicities,2008,Number,29787,311
Jackson Heights,Latino,2012,Number,29820,403
Bedford Park,Latino,2011,Number,29832,207
Williamsburg/Greenpoint,White,2008,Number,29858,301
East Harlem,All Races and Ethnicities,2008,Number,29878,111
Sheepshead Bay,All Races and Ethnicities,2012,Number,30004,315
Crown Heights North,All Races and Ethnicities,2008,Number,30159,308
Bensonhurst,All Races and Ethnicities,2011,Number,30225,311
Flushing,All Races and Ethnicities,2011,Number,30411,407
Morrisania,All Races and Ethnicities,2008,Number,30575.51488,203
East New York,Black,2011,Number,30698,305
Central Harlem,All Races and Ethnicities,2011,Number,30755,110
Unionport/Soundview,Latino,2011,Number,30989,209
Astoria,All Races and Ethnicities,2008,Number,31071,401
Brownsville,Black,2011,Number,31229,316
Bushwick,Latino,2011,Number,31253,304
University Heights,Latino,2008,Number,31270,205
St. George,All Races and Ethnicities,2011,Number,31271,501
Flushing,All Races and Ethnicities,2008,Number,31367,407
Crown Heights North,All Races and Ethnicities,2012,Number,31537,308
Flatbush/Midwood,All Races and Ethnicities,2008,Number,31874,314
East Tremont,All Races and Ethnicities,2008,Number,31919.48513,206
Williamsbridge,All Races and Ethnicities,2012,Number,31997,212
Mott Haven,Latino,2012,Number,32373.37417,201
Astoria,All Races and Ethnicities,2011,Number,32439,401
Borough Park,White,2008,Number,32483,312
Unionport/Soundview,Latino,2012,Number,32683,209
St. George,All Races and Ethnicities,2012,Number,32755,501
Bushwick,All Races and Ethnicities,2008,Number,32871,304
Brownsville,Black,2012,Number,33768,316
Manhattanville,All Races and Ethnicities,2011,Number,33817,109
East Harlem,All Races and Ethnicities,2011,Number,33847,111
Manhattanville,All Races and Ethnicities,2008,Number,33974,109
Jackson Heights,Latino,2011,Number,34034,403
Bedford Park,All Races and Ethnicities,2012,Number,34467,207
Morrisania,All Races and Ethnicities,2012,Number,34622.07994,203
Central Harlem,All Races and Ethnicities,2008,Number,34794,110
Washington Heights,Latino,2008,Number,35321,112
Crown Heights North,All Races and Ethnicities,2011,Number,35366,308
Manhattan,Asian,2011,Number,35531,36061
Sunset Park,All Races and Ethnicities,2008,Number,35769,307
Bushwick,Latino,2012,Number,35950,304
Sunset Park,All Races and Ethnicities,2011,Number,35984,307
Flatbush/Midwood,All Races and Ethnicities,2011,Number,36005,314
East Tremont,All Races and Ethnicities,2012,Number,36143.92006,206
Flushing,All Races and Ethnicities,2012,Number,36386,407
Morrisania,All Races and Ethnicities,2011,Number,36454.80061,203
Brownsville,All Races and Ethnicities,2008,Number,36634,316
Concourse/Highbridge,Latino,2012,Number,36785,204
University Heights,Latino,2011,Number,36855,205
Concourse/Highbridge,Latino,2011,Number,36870,204
Unionport/Soundview,All Races and Ethnicities,2008,Number,37243,209
East Harlem,All Races and Ethnicities,2012,Number,37423,111
Jackson Heights,All Races and Ethnicities,2008,Number,37502,403
Elmhurst/Corona,All Races and Ethnicities,2012,Number,37515,404
Manhattan,Asian,2008,Number,37619,36061
Borough Park,White,2011,Number,37762,312
Bedford Park,All Races and Ethnicities,2008,Number,37915,207
East Tremont,All Races and Ethnicities,2011,Number,38057.19939,206
Mott Haven,All Races and Ethnicities,2011,Number,38122.52998,201
Concourse/Highbridge,Latino,2008,Number,38281,204
Central Harlem,All Races and Ethnicities,2012,Number,38785,110
University Heights,Latino,2012,Number,39089,205
Bedford Stuyvesant,All Races and Ethnicities,2008,Number,39454,303
Manhattan,Asian,2012,Number,39789,36061
Manhattanville,All Races and Ethnicities,2012,Number,39944,109
Jamaica/St. Albans,All Races and Ethnicities,2011,Number,40211,412
Mott Haven,All Races and Ethnicities,2008,Number,40583.99871,201
Bedford Park,All Races and Ethnicities,2011,Number,40650,207
Bedford Stuyvesant,All Races and Ethnicities,2012,Number,40794,303
Bedford Stuyvesant,All Races and Ethnicities,2011,Number,41027,303
Jackson Heights,All Races and Ethnicities,2011,Number,41660,403
Lower East Side,All Races and Ethnicities,2008,Number,41776,103
Lower East Side,All Races and Ethnicities,2012,Number,41946,103
Bensonhurst,All Races and Ethnicities,2012,Number,41961,311
Staten Island,All Races and Ethnicities,2008,Number,42513,36085
East New York,All Races and Ethnicities,2012,Number,42674,305
Borough Park,All Races and Ethnicities,2008,Number,42964,312
Brownsville,All Races and Ethnicities,2012,Number,43021,316
Lower East Side,All Races and Ethnicities,2011,Number,43027,103
Jamaica/St. Albans,All Races and Ethnicities,2012,Number,43142,412
Mott Haven,All Races and Ethnicities,2012,Number,43418.47511,201
Jackson Heights,All Races and Ethnicities,2012,Number,43582,403
Borough Park,White,2012,Number,43711,312
Brooklyn,Asian,2008,Number,43798,36047
Washington Heights,All Races and Ethnicities,2008,Number,44224,112
Washington Heights,Latino,2012,Number,44374,112
East New York,All Races and Ethnicities,2008,Number,44759,305
Bushwick,All Races and Ethnicities,2012,Number,44820,304
Washington Heights,Latino,2011,Number,45436,112
University Heights,All Races and Ethnicities,2008,Number,45730,205
Bushwick,All Races and Ethnicities,2011,Number,46258,304
Williamsburg/Greenpoint,All Races and Ethnicities,2011,Number,46477,301
Brownsville,All Races and Ethnicities,2011,Number,46991,316
Unionport/Soundview,All Races and Ethnicities,2011,Number,47180,209
Sunset Park,All Races and Ethnicities,2012,Number,47390,307
