"Name","Asthma Hospitalizations"
"Description","<normal><g class=""gr_ gr_5 gr-alert gr_gramm gr_inline_cards gr_run_anim Grammar only-ins doubleReplace replaceWithoutSep"" id=""5"" data-gr-id=""5"">Number</g> of asthma hospitalizations among NYC resident children by age groups (0 to 4, 5 to 17 and 0 to 17).<br />
<g class=""gr_ gr_6 gr-alert gr_gramm gr_inline_cards gr_run_anim Grammar only-ins doubleReplace replaceWithoutSep"" id=""6"" data-gr-id=""6"">Rate</g> of asthma hospitalizations per 10,000 children in specific age groups (0 to 4, 5 to 17 and 0 to 17).<br />
<br />
</normal>"
"Source Notes","New York State Statewide Planning and Research Cooperative System (SPARCS) Deidentified Hospital Discharge Data, retrieved from&nbsp;<g class=""gr_ gr_5 gr-alert gr_gramm gr_inline_cards gr_run_anim Grammar only-ins replaceWithoutSep"" id=""5"" data-gr-id=""5"">New</g>&nbsp;York City Department of Health and Mental Hygiene NYC Tracking Program: Environment and Health Data Portal. [Asthma Hospitalizations; 2000-2016].&nbsp;<a href=""http://a816-dohbesp.nyc.gov/IndicatorPublic/"" target=""_blank"">http://a816-dohbesp.nyc.gov/IndicatorPublic/</a>"
"Notes","<normal>Rates are calculated by using number of asthma hospitalizations among NYC resident children for particular age group, divided by the population of children for the same age group, expressed as cases per 10,000 resident children for the respective age group (i.e. asthma hospitalization among NYC resident children ages 0 to 4, divided by the population of children ages 0 to 4, expressed as cases per 10,000 population ages 0 to 4).<br />
<br />
UHFs with the value of&nbsp;<strong>0</strong>&nbsp;represent data suppressed by DOHMH due to small sample size or insufficient data.&nbsp;<br />
</normal>"

Location,Age Group,TimeFrame,DataFormat,Data,Fips
Sunset Park,5 to 17 Years,2015,Rate,10,uhf205
Union Square - Lower East Side,0 to 4 years,2015,Rate,42.1,uhf309
Union Square - Lower East Side,0 to 4 years,2015,Number,32,uhf309
Union Square - Lower East Side,5 to 17 Years,2015,Number,35,uhf309
Union Square - Lower East Side,5 to 17 Years,2015,Rate,21.5,uhf309
Upper East Side,0 to 4 years,2015,Rate,19.2,uhf305
Upper East Side,0 to 4 years,2015,Number,22,uhf305
Upper East Side,5 to 17 Years,2015,Number,20,uhf305
Upper East Side,5 to 17 Years,2015,Rate,9.7,uhf305
Upper West Side,0 to 4 years,2015,Number,33,uhf304
Upper West Side,0 to 4 years,2015,Rate,27.9,uhf304
Upper West Side,5 to 17 Years,2015,Number,18,uhf304
Upper West Side,5 to 17 Years,2015,Rate,8.7,uhf304
Washington Heights - Inwood,0 to 4 years,2015,Rate,52.3,uhf301
Washington Heights - Inwood,0 to 4 years,2015,Number,83,uhf301
Washington Heights - Inwood,5 to 17 Years,2015,Number,92,uhf301
Washington Heights - Inwood,5 to 17 Years,2015,Rate,26.9,uhf301
West Queens,0 to 4 years,2015,Number,85,uhf402
West Queens,0 to 4 years,2015,Rate,25.4,uhf402
West Queens,5 to 17 Years,2015,Number,92,uhf402
West Queens,5 to 17 Years,2015,Rate,14,uhf402
Williamsburg - Bushwick,0 to 4 years,2015,Number,96,uhf211
Williamsburg - Bushwick,0 to 4 years,2015,Rate,55.4,uhf211
Williamsburg - Bushwick,5 to 17 Years,2015,Number,123,uhf211
Williamsburg - Bushwick,5 to 17 Years,2015,Rate,32.1,uhf211
Willowbrook,0 to 4 years,2015,Rate,25.5,uhf503
Willowbrook,0 to 4 years,2015,Number,12,uhf503
Willowbrook,5 to 17 Years,2015,Number,0,uhf503
Willowbrook,5 to 17 Years,2015,Rate,5.4,uhf503
Bayside - Little Neck,0 to 4 years,2016,Number,7,uhf404
Bayside - Little Neck,0 to 4 years,2016,Rate,15.2,uhf404
Bayside - Little Neck,5 to 17 Years,2016,Number,0,uhf404
Bayside - Little Neck,5 to 17 Years,2016,Rate,3.1,uhf404
Bedford Stuyvesant - Crown Heights,0 to 4 years,2016,Number,229,uhf203
Bedford Stuyvesant - Crown Heights,0 to 4 years,2016,Rate,97.7,uhf203
Bedford Stuyvesant - Crown Heights,5 to 17 Years,2016,Number,244,uhf203
Bedford Stuyvesant - Crown Heights,5 to 17 Years,2016,Rate,48.4,uhf203
Bensonhurst - Bay Ridge,0 to 4 years,2016,Number,13,uhf209
Bensonhurst - Bay Ridge,0 to 4 years,2016,Rate,9.7,uhf209
Bensonhurst - Bay Ridge,5 to 17 Years,2016,Number,17,uhf209
Bensonhurst - Bay Ridge,5 to 17 Years,2016,Rate,5.8,uhf209
Borough Park,0 to 4 years,2016,Rate,12.1,uhf206
Borough Park,0 to 4 years,2016,Number,41,uhf206
Borough Park,5 to 17 Years,2016,Number,31,uhf206
Borough Park,5 to 17 Years,2016,Rate,4.5,uhf206
Bronx,0 to 4 years,2016,Rate,123.4,36005
Bronx,0 to 4 years,2016,Number,1317,36005
Bronx,5 to 17 Years,2016,Number,1340,36005
Bronx,5 to 17 Years,2016,Rate,51.1,36005
Brooklyn,0 to 4 years,2016,Number,977,36047
Brooklyn,0 to 4 years,2016,Rate,50.4,36047
Brooklyn,5 to 17 Years,2016,Number,990,36047
Brooklyn,5 to 17 Years,2016,Rate,24.1,36047
Canarsie - Flatlands,0 to 4 years,2016,Rate,72.8,uhf208
Canarsie - Flatlands,0 to 4 years,2016,Number,91,uhf208
Canarsie - Flatlands,5 to 17 Years,2016,Number,81,uhf208
Canarsie - Flatlands,5 to 17 Years,2016,Rate,24.8,uhf208
Central Harlem - Morningside Heights,0 to 4 years,2016,Number,138,uhf302
Central Harlem - Morningside Heights,0 to 4 years,2016,Rate,132.9,uhf302
Central Harlem - Morningside Heights,5 to 17 Years,2016,Number,146,uhf302
Central Harlem - Morningside Heights,5 to 17 Years,2016,Rate,62,uhf302
Chelsea - Clinton,0 to 4 years,2016,Number,11,uhf306
Chelsea - Clinton,0 to 4 years,2016,Rate,21.4,uhf306
Chelsea - Clinton,5 to 17 Years,2016,Number,0,uhf306
Chelsea - Clinton,5 to 17 Years,2016,Rate,10.5,uhf306
Coney Island - Sheepshead Bay,0 to 4 years,2016,Rate,26.1,uhf210
Coney Island - Sheepshead Bay,0 to 4 years,2016,Number,45,uhf210
Coney Island - Sheepshead Bay,5 to 17 Years,2016,Number,39,uhf210
Coney Island - Sheepshead Bay,5 to 17 Years,2016,Rate,9.6,uhf210
Crotona - Tremont,0 to 4 years,2016,Rate,117.4,uhf105
Crotona - Tremont,0 to 4 years,2016,Number,216,uhf105
Crotona - Tremont,5 to 17 Years,2016,Number,211,uhf105
Crotona - Tremont,5 to 17 Years,2016,Rate,47.8,uhf105
Downtown  - Heights - Slope,0 to 4 years,2016,Rate,29.3,uhf202
Downtown  - Heights - Slope,0 to 4 years,2016,Number,57,uhf202
Downtown  - Heights - Slope,5 to 17 Years,2016,Number,55,uhf202
Downtown  - Heights - Slope,5 to 17 Years,2016,Rate,19.5,uhf202
East Flatbush - Flatbush,0 to 4 years,2016,Number,178,uhf207
East Flatbush - Flatbush,0 to 4 years,2016,Rate,89,uhf207
East Flatbush - Flatbush,5 to 17 Years,2016,Number,186,uhf207
East Flatbush - Flatbush,5 to 17 Years,2016,Rate,41.4,uhf207
East Harlem,0 to 4 years,2016,Rate,92.2,uhf303
East Harlem,0 to 4 years,2016,Number,64,uhf303
East Harlem,5 to 17 Years,2016,Number,87,uhf303
East Harlem,5 to 17 Years,2016,Rate,52.6,uhf303
East New York,0 to 4 years,2016,Rate,120.6,uhf204
East New York,0 to 4 years,2016,Number,176,uhf204
East New York,5 to 17 Years,2016,Number,185,uhf204
East New York,5 to 17 Years,2016,Rate,52,uhf204
Flushing - Clearview,0 to 4 years,2016,Rate,28.8,uhf403
Flushing - Clearview,0 to 4 years,2016,Number,40,uhf403
Flushing - Clearview,5 to 17 Years,2016,Number,39,uhf403
Flushing - Clearview,5 to 17 Years,2016,Rate,12.5,uhf403
Fordham - Bronx Park,0 to 4 years,2016,Rate,122.3,uhf103
Fordham - Bronx Park,0 to 4 years,2016,Number,248,uhf103
Fordham - Bronx Park,5 to 17 Years,2016,Number,297,uhf103
Fordham - Bronx Park,5 to 17 Years,2016,Rate,63.6,uhf103
Fresh Meadows,0 to 4 years,2016,Number,28,uhf406
Fresh Meadows,0 to 4 years,2016,Rate,39.6,uhf406
Fresh Meadows,5 to 17 Years,2016,Number,23,uhf406
Fresh Meadows,5 to 17 Years,2016,Rate,15.7,uhf406
Gramercy Park -  Murray Hill,0 to 4 years,2016,Rate,17.6,uhf307
Gramercy Park -  Murray Hill,0 to 4 years,2016,Number,8,uhf307
Gramercy Park -  Murray Hill,5 to 17 Years,2016,Number,0,uhf307
Gramercy Park -  Murray Hill,5 to 17 Years,2016,Rate,13.7,uhf307
Greenpoint,0 to 4 years,2016,Number,15,uhf201
Greenpoint,0 to 4 years,2016,Rate,13.2,uhf201
Greenpoint,5 to 17 Years,2016,Number,11,uhf201
Greenpoint,5 to 17 Years,2016,Rate,5.5,uhf201
Greenwich Village - Soho,0 to 4 years,2016,Number,4,uhf308
Greenwich Village - Soho,0 to 4 years,2016,Rate,11.8,uhf308
Greenwich Village - Soho,5 to 17 Years,2016,Number,0,uhf308
Greenwich Village - Soho,5 to 17 Years,2016,Rate,1.8,uhf308
High Bridge - Morrisania,0 to 4 years,2016,Number,287,uhf106
High Bridge - Morrisania,0 to 4 years,2016,Rate,159,uhf106
High Bridge - Morrisania,5 to 17 Years,2016,Number,278,uhf106
High Bridge - Morrisania,5 to 17 Years,2016,Rate,63.7,uhf106
Hunts Point - Mott Haven,0 to 4 years,2016,Rate,164.2,uhf107
Hunts Point - Mott Haven,0 to 4 years,2016,Number,196,uhf107
Hunts Point - Mott Haven,5 to 17 Years,2016,Number,165,uhf107
Hunts Point - Mott Haven,5 to 17 Years,2016,Rate,56.5,uhf107
Jamaica,0 to 4 years,2016,Number,118,uhf408
Jamaica,0 to 4 years,2016,Rate,59,uhf408
Jamaica,5 to 17 Years,2016,Number,121,uhf408
Jamaica,5 to 17 Years,2016,Rate,25,uhf408
Kingsbridge - Riverdale,0 to 4 years,2016,Rate,42.2,uhf101
Kingsbridge - Riverdale,0 to 4 years,2016,Number,25,uhf101
Kingsbridge - Riverdale,5 to 17 Years,2016,Number,28,uhf101
Kingsbridge - Riverdale,5 to 17 Years,2016,Rate,23.2,uhf101
Long Island City - Astoria,0 to 4 years,2016,Rate,28.7,uhf401
Long Island City - Astoria,0 to 4 years,2016,Number,32,uhf401
Long Island City - Astoria,5 to 17 Years,2016,Number,23,uhf401
Long Island City - Astoria,5 to 17 Years,2016,Rate,10.3,uhf401
Lower Manhattan,0 to 4 years,2016,Number,7,uhf310
Lower Manhattan,0 to 4 years,2016,Rate,18.3,uhf310
Lower Manhattan,5 to 17 Years,2016,Number,0,uhf310
Lower Manhattan,5 to 17 Years,2016,Rate,20.4,uhf310
Manhattan,0 to 4 years,2016,Number,416,36061
Manhattan,0 to 4 years,2016,Rate,51.4,36061
Manhattan,5 to 17 Years,2016,Number,440,36061
Manhattan,5 to 17 Years,2016,Rate,27.9,36061
New York City,0 to 4 years,2016,Rate,61.1,3651000
New York City,0 to 4 years,2016,Number,3380,3651000
New York City,5 to 17 Years,2016,Number,3373,3651000
New York City,5 to 17 Years,2016,Rate,27.2,3651000
Northeast Bronx,0 to 4 years,2016,Number,126,uhf102
Northeast Bronx,0 to 4 years,2016,Rate,104.7,uhf102
Northeast Bronx,5 to 17 Years,2016,Number,139,uhf102
Northeast Bronx,5 to 17 Years,2016,Rate,42.4,uhf102
Pelham - Throgs Neck,0 to 4 years,2016,Number,219,uhf104
Pelham - Throgs Neck,0 to 4 years,2016,Rate,106.2,uhf104
Pelham - Throgs Neck,5 to 17 Years,2016,Number,222,uhf104
Pelham - Throgs Neck,5 to 17 Years,2016,Rate,42.7,uhf104
Port  Richmond,0 to 4 years,2016,Rate,71.7,uhf501
Port  Richmond,0 to 4 years,2016,Number,34,uhf501
Port  Richmond,5 to 17 Years,2016,Number,49,uhf501
Port  Richmond,5 to 17 Years,2016,Rate,36.6,uhf501
Queens,0 to 4 years,2016,Rate,38.6,36081
Queens,0 to 4 years,2016,Number,559,36081
Queens,5 to 17 Years,2016,Number,506,36081
Queens,5 to 17 Years,2016,Rate,15.4,36081
Ridgewood - Forest Hills,0 to 4 years,2016,Rate,32.2,uhf405
Ridgewood - Forest Hills,0 to 4 years,2016,Number,51,uhf405
Ridgewood - Forest Hills,5 to 17 Years,2016,Number,46,uhf405
Ridgewood - Forest Hills,5 to 17 Years,2016,Rate,14,uhf405
Rockaway,0 to 4 years,2016,Number,36,uhf410
Rockaway,0 to 4 years,2016,Rate,37.5,uhf410
Rockaway,5 to 17 Years,2016,Number,37,uhf410
Rockaway,5 to 17 Years,2016,Rate,17.1,uhf410
South Beach - Tottenville,0 to 4 years,2016,Number,24,uhf504
South Beach - Tottenville,0 to 4 years,2016,Rate,23.4,uhf504
South Beach - Tottenville,5 to 17 Years,2016,Number,12,uhf504
South Beach - Tottenville,5 to 17 Years,2016,Rate,3.9,uhf504
Southeast Queens,0 to 4 years,2016,Rate,54.1,uhf409
Southeast Queens,0 to 4 years,2016,Number,62,uhf409
Southeast Queens,5 to 17 Years,2016,Number,53,uhf409
Southeast Queens,5 to 17 Years,2016,Rate,17.2,uhf409
Southwest Queens,0 to 4 years,2016,Rate,45.2,uhf407
Southwest Queens,0 to 4 years,2016,Number,85,uhf407
Southwest Queens,5 to 17 Years,2016,Number,61,uhf407
Southwest Queens,5 to 17 Years,2016,Rate,12.8,uhf407
Stapleton - St. George,0 to 4 years,2016,Number,41,uhf502
Stapleton - St. George,0 to 4 years,2016,Rate,56.6,uhf502
Stapleton - St. George,5 to 17 Years,2016,Number,31,uhf502
Stapleton - St. George,5 to 17 Years,2016,Rate,15.5,uhf502
Staten Island,0 to 4 years,2016,Number,111,36085
Staten Island,0 to 4 years,2016,Rate,41.3,36085
Staten Island,5 to 17 Years,2016,Number,97,36085
Staten Island,5 to 17 Years,2016,Rate,12.4,36085
Sunset Park,0 to 4 years,2016,Number,18,uhf205
Sunset Park,0 to 4 years,2016,Rate,16.4,uhf205
Sunset Park,5 to 17 Years,2016,Number,15,uhf205
Sunset Park,5 to 17 Years,2016,Rate,7.4,uhf205
Union Square - Lower East Side,0 to 4 years,2016,Rate,44.1,uhf309
Union Square - Lower East Side,0 to 4 years,2016,Number,33,uhf309
Union Square - Lower East Side,5 to 17 Years,2016,Number,40,uhf309
Union Square - Lower East Side,5 to 17 Years,2016,Rate,24.3,uhf309
Upper East Side,0 to 4 years,2016,Rate,21.3,uhf305
Upper East Side,0 to 4 years,2016,Number,24,uhf305
Upper East Side,5 to 17 Years,2016,Number,15,uhf305
Upper East Side,5 to 17 Years,2016,Rate,7.2,uhf305
Upper West Side,0 to 4 years,2016,Number,28,uhf304
Upper West Side,0 to 4 years,2016,Rate,24,uhf304
Upper West Side,5 to 17 Years,2016,Number,15,uhf304
Upper West Side,5 to 17 Years,2016,Rate,7.2,uhf304
Washington Heights - Inwood,0 to 4 years,2016,Rate,63.8,uhf301
Washington Heights - Inwood,0 to 4 years,2016,Number,99,uhf301
Washington Heights - Inwood,5 to 17 Years,2016,Number,111,uhf301
Washington Heights - Inwood,5 to 17 Years,2016,Rate,32.4,uhf301
West Queens,0 to 4 years,2016,Number,100,uhf402
West Queens,0 to 4 years,2016,Rate,30.5,uhf402
West Queens,5 to 17 Years,2016,Number,99,uhf402
West Queens,5 to 17 Years,2016,Rate,14.9,uhf402
Williamsburg - Bushwick,0 to 4 years,2016,Number,114,uhf211
Williamsburg - Bushwick,0 to 4 years,2016,Rate,67,uhf211
Williamsburg - Bushwick,5 to 17 Years,2016,Number,126,uhf211
Williamsburg - Bushwick,5 to 17 Years,2016,Rate,33,uhf211
Willowbrook,0 to 4 years,2016,Rate,25.7,uhf503
Willowbrook,0 to 4 years,2016,Number,12,uhf503
Willowbrook,5 to 17 Years,2016,Number,0,uhf503
Willowbrook,5 to 17 Years,2016,Rate,3.8,uhf503
Bronx,0 to 17 Years,2005,Number,3385,36005
Brooklyn,0 to 17 Years,2005,Number,2895,36047
Manhattan,0 to 17 Years,2005,Number,1295,36061
Queens,0 to 17 Years,2005,Number,1857,36081
Staten Island,0 to 17 Years,2005,Number,251,36085
New York City,0 to 17 Years,2005,Number,9683,3651000
Kingsbridge - Riverdale,0 to 17 Years,2005,Number,55,uhf101
Northeast Bronx,0 to 17 Years,2005,Number,276,uhf102
Fordham - Bronx Park,0 to 17 Years,2005,Number,574,uhf103
Pelham - Throgs Neck,0 to 17 Years,2005,Number,523,uhf104
Crotona - Tremont,0 to 17 Years,2005,Number,660,uhf105
High Bridge - Morrisania,0 to 17 Years,2005,Number,713,uhf106
Hunts Point - Mott Haven,0 to 17 Years,2005,Number,426,uhf107
Greenpoint,0 to 17 Years,2005,Number,80,uhf201
Downtown  - Heights - Slope,0 to 17 Years,2005,Number,129,uhf202
Bedford Stuyvesant - Crown Heights,0 to 17 Years,2005,Number,677,uhf203
East New York,0 to 17 Years,2005,Number,437,uhf204
Sunset Park,0 to 17 Years,2005,Number,56,uhf205
Borough Park,0 to 17 Years,2005,Number,78,uhf206
East Flatbush - Flatbush,0 to 17 Years,2005,Number,458,uhf207
Canarsie - Flatlands,0 to 17 Years,2005,Number,184,uhf208
Bensonhurst - Bay Ridge,0 to 17 Years,2005,Number,31,uhf209
Coney Island - Sheepshead Bay,0 to 17 Years,2005,Number,95,uhf210
Williamsburg - Bushwick,0 to 17 Years,2005,Number,603,uhf211
Washington Heights - Inwood,0 to 17 Years,2005,Number,203,uhf301
Central Harlem - Morningside Heights,0 to 17 Years,2005,Number,383,uhf302
East Harlem,0 to 17 Years,2005,Number,315,uhf303
Upper West Side,0 to 17 Years,2005,Number,107,uhf304
Upper East Side,0 to 17 Years,2005,Number,63,uhf305
Chelsea - Clinton,0 to 17 Years,2005,Number,40,uhf306
Gramercy Park -  Murray Hill,0 to 17 Years,2005,Number,14,uhf307
Greenwich Village - Soho,0 to 17 Years,2005,Number,0,uhf308
Union Square - Lower East Side,0 to 17 Years,2005,Number,106,uhf309
Lower Manhattan,0 to 17 Years,2005,Number,8,uhf310
Long Island City - Astoria,0 to 17 Years,2005,Number,128,uhf401
West Queens,0 to 17 Years,2005,Number,298,uhf402
Flushing - Clearview,0 to 17 Years,2005,Number,437,uhf403
Bayside - Little Neck,0 to 17 Years,2005,Number,26,uhf404
Ridgewood - Forest Hills,0 to 17 Years,2005,Number,171,uhf405
Fresh Meadows,0 to 17 Years,2005,Number,52,uhf406
Southwest Queens,0 to 17 Years,2005,Number,217,uhf407
Jamaica,0 to 17 Years,2005,Number,361,uhf408
Southeast Queens,0 to 17 Years,2005,Number,190,uhf409
Rockaway,0 to 17 Years,2005,Number,231,uhf410
Port  Richmond,0 to 17 Years,2005,Number,76,uhf501
Stapleton - St. George,0 to 17 Years,2005,Number,91,uhf502
Willowbrook,0 to 17 Years,2005,Number,34,uhf503
South Beach - Tottenville,0 to 17 Years,2005,Number,48,uhf504
Bronx,0 to 17 Years,2006,Number,3308,36005
Brooklyn,0 to 17 Years,2006,Number,3004,36047
Manhattan,0 to 17 Years,2006,Number,1259,36061
Queens,0 to 17 Years,2006,Number,1871,36081
Staten Island,0 to 17 Years,2006,Number,247,36085
New York City,0 to 17 Years,2006,Number,9689,3651000
Kingsbridge - Riverdale,0 to 17 Years,2006,Number,55,uhf101
Northeast Bronx,0 to 17 Years,2006,Number,289,uhf102
Fordham - Bronx Park,0 to 17 Years,2006,Number,567,uhf103
Pelham - Throgs Neck,0 to 17 Years,2006,Number,560,uhf104
Crotona - Tremont,0 to 17 Years,2006,Number,586,uhf105
High Bridge - Morrisania,0 to 17 Years,2006,Number,657,uhf106
Hunts Point - Mott Haven,0 to 17 Years,2006,Number,439,uhf107
Greenpoint,0 to 17 Years,2006,Number,97,uhf201
Downtown  - Heights - Slope,0 to 17 Years,2006,Number,152,uhf202
Bedford Stuyvesant - Crown Heights,0 to 17 Years,2006,Number,769,uhf203
East New York,0 to 17 Years,2006,Number,450,uhf204
Sunset Park,0 to 17 Years,2006,Number,58,uhf205
Borough Park,0 to 17 Years,2006,Number,89,uhf206
East Flatbush - Flatbush,0 to 17 Years,2006,Number,476,uhf207
Canarsie - Flatlands,0 to 17 Years,2006,Number,169,uhf208
Bensonhurst - Bay Ridge,0 to 17 Years,2006,Number,32,uhf209
Coney Island - Sheepshead Bay,0 to 17 Years,2006,Number,89,uhf210
Williamsburg - Bushwick,0 to 17 Years,2006,Number,549,uhf211
Washington Heights - Inwood,0 to 17 Years,2006,Number,202,uhf301
Central Harlem - Morningside Heights,0 to 17 Years,2006,Number,349,uhf302
East Harlem,0 to 17 Years,2006,Number,289,uhf303
Upper West Side,0 to 17 Years,2006,Number,106,uhf304
Upper East Side,0 to 17 Years,2006,Number,52,uhf305
Chelsea - Clinton,0 to 17 Years,2006,Number,42,uhf306
Gramercy Park -  Murray Hill,0 to 17 Years,2006,Number,34,uhf307
Greenwich Village - Soho,0 to 17 Years,2006,Number,0,uhf308
Union Square - Lower East Side,0 to 17 Years,2006,Number,129,uhf309
Lower Manhattan,0 to 17 Years,2006,Number,7,uhf310
Long Island City - Astoria,0 to 17 Years,2006,Number,111,uhf401
West Queens,0 to 17 Years,2006,Number,279,uhf402
Flushing - Clearview,0 to 17 Years,2006,Number,134,uhf403
Bayside - Little Neck,0 to 17 Years,2006,Number,35,uhf404
Ridgewood - Forest Hills,0 to 17 Years,2006,Number,172,uhf405
Fresh Meadows,0 to 17 Years,2006,Number,52,uhf406
Southwest Queens,0 to 17 Years,2006,Number,271,uhf407
Jamaica,0 to 17 Years,2006,Number,342,uhf408
Southeast Queens,0 to 17 Years,2006,Number,204,uhf409
Rockaway,0 to 17 Years,2006,Number,212,uhf410
Port  Richmond,0 to 17 Years,2006,Number,81,uhf501
Stapleton - St. George,0 to 17 Years,2006,Number,77,uhf502
Willowbrook,0 to 17 Years,2006,Number,39,uhf503
South Beach - Tottenville,0 to 17 Years,2006,Number,48,uhf504
Bronx,0 to 17 Years,2007,Number,3167,36005
Brooklyn,0 to 17 Years,2007,Number,2509,36047
Manhattan,0 to 17 Years,2007,Number,1124,36061
Queens,0 to 17 Years,2007,Number,1847,36081
Staten Island,0 to 17 Years,2007,Number,212,36085
New York City,0 to 17 Years,2007,Number,8859,3651000
Kingsbridge - Riverdale,0 to 17 Years,2007,Number,60,uhf101
Northeast Bronx,0 to 17 Years,2007,Number,291,uhf102
Fordham - Bronx Park,0 to 17 Years,2007,Number,596,uhf103
Pelham - Throgs Neck,0 to 17 Years,2007,Number,480,uhf104
Crotona - Tremont,0 to 17 Years,2007,Number,588,uhf105
High Bridge - Morrisania,0 to 17 Years,2007,Number,576,uhf106
Hunts Point - Mott Haven,0 to 17 Years,2007,Number,434,uhf107
Greenpoint,0 to 17 Years,2007,Number,64,uhf201
Downtown  - Heights - Slope,0 to 17 Years,2007,Number,130,uhf202
Bedford Stuyvesant - Crown Heights,0 to 17 Years,2007,Number,570,uhf203
East New York,0 to 17 Years,2007,Number,385,uhf204
Sunset Park,0 to 17 Years,2007,Number,67,uhf205
Borough Park,0 to 17 Years,2007,Number,80,uhf206
East Flatbush - Flatbush,0 to 17 Years,2007,Number,401,uhf207
Canarsie - Flatlands,0 to 17 Years,2007,Number,121,uhf208
Bensonhurst - Bay Ridge,0 to 17 Years,2007,Number,52,uhf209
Coney Island - Sheepshead Bay,0 to 17 Years,2007,Number,118,uhf210
Williamsburg - Bushwick,0 to 17 Years,2007,Number,476,uhf211
Washington Heights - Inwood,0 to 17 Years,2007,Number,152,uhf301
Central Harlem - Morningside Heights,0 to 17 Years,2007,Number,310,uhf302
East Harlem,0 to 17 Years,2007,Number,285,uhf303
Upper West Side,0 to 17 Years,2007,Number,91,uhf304
Upper East Side,0 to 17 Years,2007,Number,58,uhf305
Chelsea - Clinton,0 to 17 Years,2007,Number,45,uhf306
Gramercy Park -  Murray Hill,0 to 17 Years,2007,Number,28,uhf307
Greenwich Village - Soho,0 to 17 Years,2007,Number,0,uhf308
Union Square - Lower East Side,0 to 17 Years,2007,Number,109,uhf309
Lower Manhattan,0 to 17 Years,2007,Number,14,uhf310
Long Island City - Astoria,0 to 17 Years,2007,Number,117,uhf401
West Queens,0 to 17 Years,2007,Number,267,uhf402
Flushing - Clearview,0 to 17 Years,2007,Number,103,uhf403
Bayside - Little Neck,0 to 17 Years,2007,Number,34,uhf404
Ridgewood - Forest Hills,0 to 17 Years,2007,Number,197,uhf405
Fresh Meadows,0 to 17 Years,2007,Number,57,uhf406
Southwest Queens,0 to 17 Years,2007,Number,256,uhf407
Jamaica,0 to 17 Years,2007,Number,377,uhf408
Southeast Queens,0 to 17 Years,2007,Number,163,uhf409
Rockaway,0 to 17 Years,2007,Number,193,uhf410
Port  Richmond,0 to 17 Years,2007,Number,74,uhf501
Stapleton - St. George,0 to 17 Years,2007,Number,67,uhf502
Willowbrook,0 to 17 Years,2007,Number,34,uhf503
South Beach - Tottenville,0 to 17 Years,2007,Number,32,uhf504
Bronx,0 to 17 Years,2008,Number,3287,36005
Brooklyn,0 to 17 Years,2008,Number,2462,36047
Manhattan,0 to 17 Years,2008,Number,1037,36061
Queens,0 to 17 Years,2008,Number,1760,36081
Staten Island,0 to 17 Years,2008,Number,195,36085
New York City,0 to 17 Years,2008,Number,8741,3651000
Kingsbridge - Riverdale,0 to 17 Years,2008,Number,71,uhf101
Northeast Bronx,0 to 17 Years,2008,Number,329,uhf102
Fordham - Bronx Park,0 to 17 Years,2008,Number,615,uhf103
Pelham - Throgs Neck,0 to 17 Years,2008,Number,535,uhf104
Crotona - Tremont,0 to 17 Years,2008,Number,649,uhf105
High Bridge - Morrisania,0 to 17 Years,2008,Number,611,uhf106
Hunts Point - Mott Haven,0 to 17 Years,2008,Number,443,uhf107
Greenpoint,0 to 17 Years,2008,Number,53,uhf201
Downtown  - Heights - Slope,0 to 17 Years,2008,Number,138,uhf202
Bedford Stuyvesant - Crown Heights,0 to 17 Years,2008,Number,587,uhf203
East New York,0 to 17 Years,2008,Number,375,uhf204
Sunset Park,0 to 17 Years,2008,Number,76,uhf205
Borough Park,0 to 17 Years,2008,Number,76,uhf206
East Flatbush - Flatbush,0 to 17 Years,2008,Number,357,uhf207
Canarsie - Flatlands,0 to 17 Years,2008,Number,138,uhf208
Bensonhurst - Bay Ridge,0 to 17 Years,2008,Number,32,uhf209
Coney Island - Sheepshead Bay,0 to 17 Years,2008,Number,100,uhf210
Williamsburg - Bushwick,0 to 17 Years,2008,Number,499,uhf211
Washington Heights - Inwood,0 to 17 Years,2008,Number,149,uhf301
Central Harlem - Morningside Heights,0 to 17 Years,2008,Number,302,uhf302
East Harlem,0 to 17 Years,2008,Number,264,uhf303
Upper West Side,0 to 17 Years,2008,Number,70,uhf304
Upper East Side,0 to 17 Years,2008,Number,42,uhf305
Chelsea - Clinton,0 to 17 Years,2008,Number,38,uhf306
Gramercy Park -  Murray Hill,0 to 17 Years,2008,Number,23,uhf307
Greenwich Village - Soho,0 to 17 Years,2008,Number,10,uhf308
Union Square - Lower East Side,0 to 17 Years,2008,Number,99,uhf309
Lower Manhattan,0 to 17 Years,2008,Number,17,uhf310
Long Island City - Astoria,0 to 17 Years,2008,Number,96,uhf401
West Queens,0 to 17 Years,2008,Number,261,uhf402
Flushing - Clearview,0 to 17 Years,2008,Number,89,uhf403
Bayside - Little Neck,0 to 17 Years,2008,Number,35,uhf404
Ridgewood - Forest Hills,0 to 17 Years,2008,Number,171,uhf405
Fresh Meadows,0 to 17 Years,2008,Number,45,uhf406
Southwest Queens,0 to 17 Years,2008,Number,255,uhf407
Jamaica,0 to 17 Years,2008,Number,404,uhf408
Southeast Queens,0 to 17 Years,2008,Number,168,uhf409
Rockaway,0 to 17 Years,2008,Number,195,uhf410
